125,경상북도 청도군,영남권,기초단체,"41,278","19,885","21,393",93 : 100,
126,경상북도 성주군,영남권,기초단체,"41,225","21,271","19,954",106.6 : 100,
127,강원도 평창군,강원권,기초단체,"40,264","20,670","19,594",105.5 : 100,
128,전라남도 보성군,호남권,기초단체,"39,942","19,109","20,833",91.7 : 100,
129,충청북도 괴산군,충청권,기초단체,"38,579","19,826","18,753",105.7 : 100,
130,경상남도 함양군,영남권,기초단체,"37,942","18,185","19,757",92 : 100,
131,충청북도 증평군,충청권,기초단체,"37,625","19,200","18,425",104.2 : 100,
132,강원도 영월군,강원권,기초단체,"36,934","19,006","17,928",106 : 100,
133,전라남도 장흥군,호남권,기초단체,"36,275","17,657","18,618",94.8 : 100,
134,경상북도 영덕군,영남권,기초단체,"36,148","17,427","18,721",93.1 : 100,
135,강원도 정선군,강원권,기초단체,"36,002","18,776","17,226",109 : 100,
136,전라남도 신안군,호남권,기초단체,"35,592","18,650","16,942",110.1 : 100,
137,경상남도 산청군,영남권,기초단체,"34,033","16,459","17,574",93.7 : 100,
138,전라남도 강진군,호남권,기초단체,"33,637","16,212","17,425",93 : 100,
139,경상북도 고령군,영남권,기초단체,"33,094","17,236","15,858",108.7 : 100,
140,충청북도 보은군,충청권,기초단체,"32,253","16,018","16,235",98.7 : 100,
141,충청남도 청양군,충청권,기초단체,"31,299","15,692","15,607",100.5 : 100,
142,경상북도 봉화군,영남권,기초단체,"31,082","15,350","15,732",97.6 : 100,
143,전라남도 함평군,호남권,기초단체,"30,948","15,284","15,664",97.6 : 100,
144,강원도 인제군,강원권,기초단체,"30,524","16,456","14,068",117 : 100,
145,전라남도 진도군,호남권,기초단체,"29,432","14,921","14,511",102.8 : 100,
146,전라남도 곡성군,호남권,기초단체,"28,768","13,927","14,841",93.8 : 100,
147,강원도 고성군,강원권,기초단체,"28,621","15,422","13,199",116.8 : 100,
148,충청북도 단양군,충청권,기초단체,"28,411","14,228","14,183",100.3 : 100,
149,전라북도 순창군,호남권,기초단체,"27,017","12,875","14,142",91 : 100,
150,전라북도 임실군,호남권,기초단체,"26,409","13,256","13,153",100.8 : 100,
151,경상남도 의령군,영남권,기초단체,"26,292","12,747","13,545",94.1 : 100,
152,강원도 양양군,강원권,기초단체,"25,556","12,939","12,617",102.6 : 100,
153,강원도 화천군,강원권,기초단체,"24,625","13,589","11,036",123.1 : 100,
154,경상북도 청송군,영남권,기초단체,"24,441","12,056","12,385",97.3 : 100,
155,전라남도 구례군,호남권,기초단체,"24,420","11,767","12,653",93 : 100,
156,전라북도 무주군,호남권,기초단체,"23,195","11,478","11,717",98 : 100,
157,전라북도 진안군,호남권,기초단체,"22,998","11,388","11,610",98.1 : 100,
158,강원도 양구군,강원권,기초단체,"22,355","11,971","10,384",115.3 : 100,
159,경상북도 군위군,영남권,기초단체,"22,230","11,309","10,921",103.6 : 100,
160,전라북도 장수군,호남권,기초단체,"21,395","10,544","10,851",97.2 : 100,
161,경상북도 영양군,영남권,기초단체,"16,579","7,980","8,599",92.8 : 100,
162,경상북도 울릉군,영남권,기초단체,"8,702","4,824","3,878",124.4 : 100,
,,,,,,,,
